City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Salalah,17.0151,54.0924,78.89,89,90,6.91,OM,2021-07-28 18:21:17
67,Tiksi,71.6872,128.8694,36.99,94,66,6.17,RU,2021-07-28 18:26:11
68,Quesnel,52.9999,-122.5029,70.3,43,1,0.0,CA,2021-07-28 18:26:12
69,Sfantu Gheorghe,45.8667,25.7833,69.26,92,71,0.56,RO,2021-07-28 18:26:12
70,Lovington,32.944,-103.3485,76.17,36,81,19.71,US,2021-07-28 18:26:13
71,Smoky Lake,54.1169,-112.4686,80.49,46,26,6.91,CA,2021-07-28 18:26:13
72,East London,-33.0153,27.9116,61.74,88,75,8.05,ZA,2021-07-28 18:26:14
73,Kupang,-10.1667,123.5833,75.18,81,3,10.2,ID,2021-07-28 18:26:14
74,Victoria,22.2855,114.1577,86.32,84,72,3.0,HK,2021-07-28 18:26:15
75,Marystown,47.1666,-55.1483,67.98,81,91,8.61,CA,2021-07-28 18:26:15
76,Nantucket,41.2835,-70.0995,72.97,85,25,16.98,US,2021-07-28 18:21:33
77,Port Lincoln,-34.7333,135.8667,49.24,75,9,8.66,AU,2021-07-28 18:26:16
78,Yatou,37.15,122.3833,76.24,89,100,5.46,CN,2021-07-28 18:26:16
79,Pailon,-17.65,-62.75,64.08,20,100,12.57,BO,2021-07-28 18:26:17
80,Moen,69.1304,18.6123,61.52,72,0,6.91,NO,2021-07-28 18:26:17
81,Auki,-8.7676,160.7034,75.67,90,86,3.89,SB,2021-07-28 18:26:18
82,Bakel,14.905,-12.4568,91.54,52,100,13.38,SN,2021-07-28 18:26:18
83,Rio Branco,-9.9747,-67.81,77.61,50,0,10.36,BR,2021-07-28 18:25:54
84,Zaysan,47.4667,84.8667,62.49,30,29,7.49,KZ,2021-07-28 18:26:19
85,Barrow,71.2906,-156.7887,39.22,93,90,18.41,US,2021-07-28 18:26:19
86,Tual,-5.6667,132.75,80.83,83,68,18.25,ID,2021-07-28 18:26:20
87,Yellowknife,62.456,-114.3525,68.29,63,40,1.01,CA,2021-07-28 18:26:08
88,Tambacounda,13.7539,-13.7586,77.05,94,40,6.91,SN,2021-07-28 18:26:20
89,Vestmanna,62.1564,-7.1664,52.72,100,75,6.91,FO,2021-07-28 18:26:21
90,Priiskovyy,51.9333,116.6333,57.34,93,39,0.51,RU,2021-07-28 18:26:22
91,Puerto El Triunfo,13.2833,-88.55,92.32,64,93,7.18,SV,2021-07-28 18:26:22
92,Pisco,-13.7,-76.2167,66.25,72,0,9.22,PE,2021-07-28 18:26:23
93,Voh,-20.9667,164.7,62.13,84,6,4.32,NC,2021-07-28 18:26:23
94,Thompson,55.7435,-97.8558,64.56,59,75,10.36,CA,2021-07-28 18:26:23
95,Cape Town,-33.9258,18.4232,55.89,72,75,1.99,ZA,2021-07-28 18:22:31
96,Mar Del Plata,-38.0023,-57.5575,49.08,63,75,7.0,AR,2021-07-28 18:24:52
97,Nyurba,63.2842,118.3319,57.56,75,52,4.9,RU,2021-07-28 18:26:25
98,Nabire,-3.3667,135.4833,77.81,91,97,1.9,ID,2021-07-28 18:26:25
99,Qaanaaq,77.484,-69.3632,44.51,94,100,9.48,GL,2021-07-28 18:26:25
100,Nuevitas,21.5453,-77.2644,90.84,63,80,12.35,CU,2021-07-28 18:26:26
101,Zonguldak,41.25,31.8333,65.1,67,0,0.89,TR,2021-07-28 18:26:26
102,Havoysund,70.9963,24.6622,47.28,80,100,6.89,NO,2021-07-28 18:26:27
103,San Francisco Del Mar,16.2333,-94.65,89.22,58,53,2.68,MX,2021-07-28 18:26:27
104,Tokur,53.1333,132.9,59.81,99,52,3.51,RU,2021-07-28 18:26:28
105,Bendigo,-36.7667,144.2833,35.85,58,7,5.37,AU,2021-07-28 18:26:28
106,Gourcy,13.2167,-2.35,85.77,55,98,8.21,BF,2021-07-28 18:26:28
107,Bahia Blanca,-38.7196,-62.2724,50.81,44,10,7.49,AR,2021-07-28 18:26:29
108,Uusikaupunki,60.8004,21.4084,64.92,95,98,6.91,FI,2021-07-28 18:26:29
109,Makakilo City,21.3469,-158.0858,80.92,70,1,8.05,US,2021-07-28 18:26:30
110,Zhaoqing,23.0512,112.4597,84.81,82,90,3.74,CN,2021-07-28 18:26:30
111,Kaitangata,-46.2817,169.8464,46.92,82,49,4.43,NZ,2021-07-28 18:26:30
112,Port Elizabeth,-33.918,25.5701,57.49,77,40,8.05,ZA,2021-07-28 18:25:18
113,Vaini,-21.2,-175.2,68.16,77,40,8.05,TO,2021-07-28 18:26:31
114,Cidreira,-30.1811,-50.2056,50.31,62,60,22.26,BR,2021-07-28 18:26:32
115,Souillac,-20.5167,57.5167,70.18,83,75,20.71,MU,2021-07-28 18:26:32
116,San Cristobal,7.7669,-72.225,82.58,48,17,8.79,VE,2021-07-28 18:26:32
117,Wuwei,37.9281,102.6414,72.23,25,34,8.32,CN,2021-07-28 18:26:33
118,Jos,9.9167,8.9,65.12,95,100,5.08,NG,2021-07-28 18:26:33
119,Saint-Georges,12.0564,-61.7485,78.48,89,75,11.5,GD,2021-07-28 18:26:34
120,Aksu,41.1231,80.2644,86.92,29,75,7.63,CN,2021-07-28 18:25:15
121,Nanortalik,60.1432,-45.2371,46.96,86,50,13.51,GL,2021-07-28 18:26:35
122,Banda Aceh,5.5577,95.3222,80.44,81,96,14.45,ID,2021-07-28 18:26:35
123,Takoradi,4.8845,-1.7554,77.16,71,96,8.3,GH,2021-07-28 18:26:36
