City_ID,City,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
59,Constitucion,-35.3333,-72.4167,clear sky,61.0,52,0,10.25,CL,2021-08-02 16:13:59
60,Cape Town,-33.9258,18.4232,clear sky,65.1,73,0,1.01,ZA,2021-08-02 16:10:54
61,Constantine,36.365,6.6147,broken clouds,91.49,33,73,8.3,DZ,2021-08-02 16:14:41
62,Victoria,22.2855,114.1577,overcast clouds,86.38,82,100,1.01,HK,2021-08-02 16:14:32
63,Goderich,43.7501,-81.7165,clear sky,73.04,77,7,6.91,CA,2021-08-02 16:15:48
64,Susangerd,31.5608,48.1831,clear sky,102.22,8,0,6.17,IR,2021-08-02 16:16:49
65,Khatanga,71.9667,102.5,overcast clouds,64.08,64,98,10.31,RU,2021-08-02 16:12:17
66,Nanticoke,41.2054,-76.0049,clear sky,73.85,67,3,1.99,US,2021-08-02 16:13:41
67,Ha Giang,22.8333,104.9833,light rain,77.05,95,27,3.22,VN,2021-08-02 16:16:50
68,Moba,33.2288,105.0179,clear sky,61.65,89,5,4.68,CN,2021-08-02 16:16:50
69,Qaanaaq,77.484,-69.3632,overcast clouds,45.32,63,100,4.56,GL,2021-08-02 16:08:49
70,Kankon,15.0167,74.0167,overcast clouds,79.23,85,97,11.48,IN,2021-08-02 16:16:51
71,Svetlogorsk,52.6333,29.7333,broken clouds,68.7,74,72,17.25,BY,2021-08-02 16:16:51
72,Jesus Carranza,17.4333,-95.0333,broken clouds,82.04,82,82,8.12,MX,2021-08-02 16:16:51
73,Vostok,46.4856,135.8833,scattered clouds,65.88,90,47,2.68,RU,2021-08-02 16:10:29
74,Rikitea,-23.1203,-134.9692,broken clouds,68.52,55,83,21.92,PF,2021-08-02 16:05:09
75,Lebu,-37.6167,-73.65,scattered clouds,55.2,74,45,18.75,CL,2021-08-02 16:09:20
76,Chuy,-33.6971,-53.4616,scattered clouds,58.33,74,37,7.27,UY,2021-08-02 16:14:08
77,Bonavista,48.6499,-53.1147,clear sky,77.0,65,0,8.84,CA,2021-08-02 16:16:52
78,Iqaluit,63.7506,-68.5145,overcast clouds,49.57,75,100,2.93,CA,2021-08-02 16:08:47
79,Kununurra,-15.7667,128.7333,broken clouds,73.38,78,75,3.44,AU,2021-08-02 16:16:53
80,Hermanus,-34.4187,19.2345,clear sky,60.8,83,0,9.13,ZA,2021-08-02 16:13:56
81,Anadyr,64.75,177.4833,light rain,41.0,93,100,15.01,RU,2021-08-02 16:09:50
82,Carnarvon,-24.8667,113.6333,clear sky,50.07,41,0,11.5,AU,2021-08-02 16:13:59
83,Hervey Bay,-25.2986,152.8535,clear sky,68.04,90,2,10.42,AU,2021-08-02 16:12:34
84,Junin,-34.5838,-60.9433,clear sky,60.85,40,0,9.28,AR,2021-08-02 16:15:45
85,Banda Aceh,5.5577,95.3222,overcast clouds,80.53,77,98,12.33,ID,2021-08-02 16:11:22
86,Sur,22.5667,59.5289,clear sky,91.35,53,8,8.52,OM,2021-08-02 16:11:13
87,Puerto Ayora,-0.7393,-90.3518,overcast clouds,73.49,80,92,11.07,EC,2021-08-02 16:08:57
88,Saint-Joseph,-21.3667,55.6167,scattered clouds,66.58,75,30,4.54,RE,2021-08-02 16:16:54
89,Along,28.1667,94.7667,broken clouds,76.12,97,68,2.15,IN,2021-08-02 16:15:00
90,Bethel,41.3712,-73.414,clear sky,76.5,67,1,8.05,US,2021-08-02 16:14:36
91,Touros,-5.1989,-35.4608,scattered clouds,84.63,59,42,20.27,BR,2021-08-02 16:10:35
92,Presidencia Roque Saenz Pena,-26.7852,-60.4388,clear sky,69.82,31,0,4.38,AR,2021-08-02 16:16:55
93,Pirovskoye,57.6267,92.2658,broken clouds,54.84,91,54,6.64,RU,2021-08-02 16:16:55
94,Mahebourg,-20.4081,57.7,clear sky,67.24,65,1,6.33,MU,2021-08-02 16:10:11
95,Aklavik,68.2191,-135.0107,broken clouds,62.6,82,75,4.61,CA,2021-08-02 16:12:48
96,Pevek,69.7008,170.3133,overcast clouds,32.14,93,94,20.65,RU,2021-08-02 16:12:40
97,Adrar,20.5022,-10.0711,clear sky,101.01,24,10,10.94,MR,2021-08-02 16:14:53
98,Longyearbyen,78.2186,15.6401,light rain,46.24,76,75,13.8,SJ,2021-08-02 16:11:18
99,Lhokseumawe,5.1801,97.1507,overcast clouds,77.86,86,99,2.48,ID,2021-08-02 16:16:56
100,Steamboat Springs,40.485,-106.8317,overcast clouds,71.94,75,90,0.0,US,2021-08-02 16:16:04
101,Torbay,47.6666,-52.7314,scattered clouds,76.75,50,40,10.36,CA,2021-08-02 16:12:51
102,Thompson,55.7435,-97.8558,few clouds,76.05,42,24,6.8,CA,2021-08-02 16:12:18
103,East London,-33.0153,27.9116,overcast clouds,59.86,72,100,12.01,ZA,2021-08-02 16:14:00
104,Mahon,39.8885,4.2658,few clouds,79.36,53,20,11.5,ES,2021-08-02 16:10:50
105,Verkhoyansk,67.5447,133.385,clear sky,55.9,51,0,4.29,RU,2021-08-02 16:08:43
106,Umm Lajj,25.0213,37.2685,clear sky,90.93,52,6,4.81,SA,2021-08-02 16:16:57
107,Dikson,73.5069,80.5464,overcast clouds,46.67,80,100,12.41,RU,2021-08-02 16:16:07
108,Georgetown,5.4112,100.3354,few clouds,84.13,78,20,0.0,MY,2021-08-02 16:11:29
109,Praia,14.9215,-23.5087,few clouds,82.94,61,20,17.27,CV,2021-08-02 16:10:26
110,Rudraprayag,30.2833,78.9833,light rain,78.22,94,70,0.81,IN,2021-08-02 16:16:58
111,Yellowknife,62.456,-114.3525,clear sky,75.49,40,0,9.46,CA,2021-08-02 16:13:53
112,Oranjestad,12.524,-70.027,few clouds,89.55,58,20,26.46,AW,2021-08-02 16:16:58
113,Ancud,-41.8697,-73.8203,overcast clouds,51.33,89,94,6.49,CL,2021-08-02 16:12:39
114,Cherskiy,68.75,161.3,broken clouds,32.76,94,74,11.68,RU,2021-08-02 16:14:09
115,Henderson,36.0397,-114.9819,clear sky,97.11,32,1,0.0,US,2021-08-02 16:14:21
116,Chokurdakh,70.6333,147.9167,few clouds,34.79,83,11,7.43,RU,2021-08-02 16:08:46
117,La Quinta,33.6634,-116.31,clear sky,104.45,15,1,6.91,US,2021-08-02 16:14:32
118,Isabela,6.7085,121.9711,overcast clouds,79.52,86,96,2.89,PH,2021-08-02 16:16:59
119,Hay River,60.8156,-115.7999,clear sky,72.68,50,1,4.56,CA,2021-08-02 16:08:42
120,Nikolskoye,59.7035,30.7861,light rain,62.49,97,100,8.75,RU,2021-08-02 16:12:38
121,Yerbogachen,61.2767,108.0108,overcast clouds,64.2,61,100,5.77,RU,2021-08-02 16:17:00
122,Pafos,34.7667,32.4167,clear sky,94.23,79,0,9.22,CY,2021-08-02 16:17:00
123,Osypenko,46.9136,36.8253,clear sky,86.85,49,1,6.78,UA,2021-08-02 16:17:01
124,Ternate,0.8,127.4,scattered clouds,81.72,75,37,7.45,ID,2021-08-02 16:17:01
125,Labuhan,-6.8844,112.2051,scattered clouds,77.54,82,32,7.54,ID,2021-08-02 16:11:54
126,Port Alfred,-33.5906,26.891,broken clouds,58.23,75,82,14.61,ZA,2021-08-02 16:12:30
127,Sibate,4.4843,-74.245,overcast clouds,59.56,79,100,1.14,CO,2021-08-02 16:17:01
128,Jamestown,42.097,-79.2353,scattered clouds,72.01,57,40,3.0,US,2021-08-02 16:12:31
129,La Rioja,42.25,-2.5,broken clouds,76.48,32,80,3.78,ES,2021-08-02 16:17:02
130,Katangli,51.7102,143.2326,overcast clouds,53.92,91,100,11.01,RU,2021-08-02 16:17:02
131,Cayenne,4.9333,-52.3333,few clouds,87.84,71,20,3.0,GF,2021-08-02 16:10:34
132,Sao Raimundo Nonato,-9.0153,-42.6994,clear sky,86.54,31,2,11.99,BR,2021-08-02 16:17:03
133,Canon City,38.441,-105.2424,clear sky,77.4,52,1,1.01,US,2021-08-02 16:17:04
134,Clinton,42.587,-82.9199,scattered clouds,75.99,58,40,1.99,US,2021-08-02 16:16:03
135,Talnakh,69.4865,88.3972,overcast clouds,66.96,54,96,4.38,RU,2021-08-02 16:10:44
136,Sorong,-0.8833,131.25,broken clouds,79.52,86,78,7.29,ID,2021-08-02 16:17:04
137,Makakilo City,21.3469,-158.0858,light intensity drizzle,75.52,76,75,6.91,US,2021-08-02 16:11:08
138,Tefe,-3.3542,-64.7114,few clouds,84.31,79,20,6.91,BR,2021-08-02 16:17:05
139,La Palma,33.8464,-118.0467,clear sky,95.5,64,1,1.99,US,2021-08-02 16:17:05
140,Big Rapids,43.6981,-85.4837,scattered clouds,74.61,58,40,6.91,US,2021-08-02 16:17:05
141,College,64.8569,-147.8028,few clouds,69.8,72,20,0.0,US,2021-08-02 16:17:06
142,Manicore,-5.8092,-61.3003,scattered clouds,95.25,26,30,4.54,BR,2021-08-02 16:12:08
143,Lagoa,39.05,-27.9833,clear sky,72.41,86,0,7.65,PT,2021-08-02 16:08:55
144,La Ronge,55.1001,-105.2842,broken clouds,76.44,41,67,3.02,CA,2021-08-02 16:11:02
145,Butajira,8.1167,38.3667,light rain,61.09,85,72,5.06,ET,2021-08-02 16:17:07
146,Hamada,34.8833,132.0833,scattered clouds,79.0,85,50,4.45,JP,2021-08-02 16:17:07
147,Kavieng,-2.5744,150.7967,few clouds,82.38,78,11,13.09,PG,2021-08-02 16:14:21
148,Andenes,69.3143,16.1194,broken clouds,51.08,87,75,18.41,NO,2021-08-02 16:12:42
149,Lazaro Cardenas,17.9583,-102.2,few clouds,84.36,74,24,2.73,MX,2021-08-02 16:17:08
150,Havre-Saint-Pierre,50.2334,-63.5986,few clouds,61.27,70,19,13.98,CA,2021-08-02 16:12:15
151,Portland,45.5234,-122.6762,broken clouds,72.61,74,75,3.0,US,2021-08-02 16:14:13
152,Luka Nad Jihlavou,49.374,15.7019,broken clouds,72.57,56,65,9.93,CZ,2021-08-02 16:17:08
153,Saint-Augustin,51.226,-58.6502,broken clouds,66.83,64,77,15.39,CA,2021-08-02 16:09:31
154,Sinop,41.7711,34.8709,clear sky,75.63,66,0,4.52,TR,2021-08-02 16:17:09
155,Oum Hadjer,13.2954,19.6966,overcast clouds,86.5,56,95,8.63,TD,2021-08-02 16:14:37
156,Esperance,-33.8667,121.9,overcast clouds,54.43,76,91,9.75,AU,2021-08-02 16:14:02
157,Nhamunda,-2.1861,-56.7131,scattered clouds,88.27,56,45,3.36,BR,2021-08-02 16:17:09
158,Gillette,44.2911,-105.5022,clear sky,83.32,30,1,3.0,US,2021-08-02 16:16:29
159,Coihaique,-45.5752,-72.0662,light intensity shower rain,50.61,93,75,4.61,CL,2021-08-02 16:15:15
160,Bengkulu,-3.8004,102.2655,scattered clouds,75.6,90,39,3.89,ID,2021-08-02 16:14:46
161,Elat,29.5581,34.9482,clear sky,102.04,13,0,13.8,IL,2021-08-02 16:13:55
162,Qaqortoq,60.7167,-46.0333,overcast clouds,54.1,88,100,2.21,GL,2021-08-02 16:11:24
163,Faanui,-16.4833,-151.75,overcast clouds,79.11,67,90,13.51,PF,2021-08-02 16:14:21
164,Oistins,13.0667,-59.5333,few clouds,86.09,70,20,11.5,BB,2021-08-02 16:17:10
165,Bokaro,23.7833,85.9667,moderate rain,83.19,74,98,7.94,IN,2021-08-02 16:17:11
166,Deqing,30.5448,119.9599,clear sky,82.36,98,9,2.21,CN,2021-08-02 16:17:11
167,Svetlaya,46.5389,138.3297,overcast clouds,64.11,90,100,8.77,RU,2021-08-02 16:10:28
168,Mumford,5.2618,-0.759,broken clouds,79.29,77,57,14.58,GH,2021-08-02 16:11:21
169,Sudak,44.85,34.9667,clear sky,81.88,64,2,6.51,UA,2021-08-02 16:17:12
170,Taoudenni,22.6783,-3.9836,scattered clouds,108.46,17,50,11.92,ML,2021-08-02 16:10:59
